states,observations
"(0, 0)","[6, 1, 0, 0]"
"(0, 90)","[0, 0]"
"(0, 180)","[0, 0]"
"(0, 270)","[6, 10, 5, 0, 0]"
"(1, 0)","[1, 1]"
"(1, 90)","[1, 1]"
"(1, 180)","[5, 0, 1, 1]"
"(1, 270)","[1, 10, 5, 6, 1]"
"(2, 0)","[4, 8, 3, 9, 2, 2]"
"(2, 90)","[2, 2]"
"(2, 180)","[2, 2]"
"(2, 270)","[7, 8, 2, 11, 2]"
"(3, 0)","[4, 3, 9, 3]"
"(3, 90)","[3, 3]"
"(3, 180)","[3, 7, 2, 3]"
"(3, 270)","[7, 8, 9, 3, 11, 3]"
"(4, 0)","[4, 4]"
"(4, 90)","[4, 4]"
"(4, 180)","[3, 4, 7, 8, 2, 4]"
"(4, 270)","[9, 4, 8, 11, 4]"
"(5, 0)","[1, 10, 5, 6, 5]"
"(5, 90)","[5, 0, 1, 5]"
"(5, 180)","[5, 5]"
"(5, 270)","[5, 5]"
"(6, 0)","[6, 6]"
"(6, 90)","[0, 6, 1, 6]"
"(6, 180)","[5, 0, 6, 6]"
"(6, 270)","[6, 10, 6]"
"(7, 0)","[4, 7, 8, 3, 11, 9, 7]"
"(7, 90)","[7, 3, 2, 7]"
"(7, 180)","[7, 7]"
"(7, 270)","[7, 7]"
"(8, 0)","[4, 8, 9, 8]"
"(8, 90)","[4, 8, 3, 2, 8]"
"(8, 180)","[7, 8, 2, 8]"
"(8, 270)","[11, 8, 8]"
"(9, 0)","[9, 9]"
"(9, 90)","[4, 3, 9, 9]"
"(9, 180)","[3, 9, 7, 8, 11, 2, 9]"
"(9, 270)","[9, 9]"
"(10, 0)","[10, 10]"
"(10, 90)","[0, 6, 10, 1, 10]"
"(10, 180)","[10, 10]"
"(10, 270)","[13, 10, 10]"
"(11, 0)","[11, 11]"
"(11, 90)","[4, 8, 3, 11, 9, 2, 11]"
"(11, 180)","[11, 11]"
"(11, 270)","[15, 20, 16, 11, 17, 11]"
"(12, 0)","[12, 13, 12]"
"(12, 90)","[12, 12]"
"(12, 180)","[12, 12]"
"(12, 270)","[22, 19, 21, 18, 12, 12]"
"(13, 0)","[14, 13, 17, 16, 11, 15, 20, 13]"
"(13, 90)","[13, 10, 13]"
"(13, 180)","[12, 13, 13]"
"(13, 270)","[22, 13, 19, 21, 18, 13]"
"(14, 0)","[14, 17, 16, 11, 15, 20, 14]"
"(14, 90)","[14, 14]"
"(14, 180)","[14, 13, 14]"
"(14, 270)","[14, 14]"
"(15, 0)","[17, 16, 11, 15, 20, 15]"
"(15, 90)","[15, 15]"
"(15, 180)","[14, 15, 13, 15]"
"(15, 270)","[15, 15]"
"(16, 0)","[16, 17, 16]"
"(16, 90)","[16, 11, 16]"
"(16, 180)","[14, 15, 13, 16, 16]"
"(16, 270)","[20, 16, 16]"
"(17, 0)","[17, 17]"
"(17, 90)","[17, 17]"
"(17, 180)","[14, 15, 13, 20, 16, 11, 17, 17]"
"(17, 270)","[17, 17]"
"(18, 0)","[22, 19, 13, 18, 18]"
"(18, 90)","[12, 18, 18]"
"(18, 180)","[18, 18]"
"(18, 270)","[22, 21, 18, 18]"
"(19, 0)","[19, 19]"
"(19, 90)","[13, 19, 19]"
"(19, 180)","[19, 21, 18, 12, 19]"
"(19, 270)","[22, 19, 21, 19]"
"(20, 0)","[20, 20]"
"(20, 90)","[15, 20, 16, 11, 17, 20]"
"(20, 180)","[20, 20]"
"(20, 270)","[24, 20, 25, 23, 20]"
"(21, 0)","[22, 19, 21, 21]"
"(21, 90)","[18, 13, 19, 12, 21, 21]"
"(21, 180)","[21, 21]"
"(21, 270)","[21, 21]"
"(22, 0)","[22, 22]"
"(22, 90)","[22, 12, 13, 19, 18, 22]"
"(22, 180)","[22, 21, 18, 22]"
"(22, 270)","[22, 22]"
"(23, 0)","[24, 20, 25, 23, 23]"
"(23, 90)","[23, 23]"
"(23, 180)","[23, 23]"
"(23, 270)","[23, 23]"
"(24, 0)","[24, 25, 24]"
"(24, 90)","[24, 20, 24]"
"(24, 180)","[24, 23, 24]"
"(24, 270)","[24, 24]"
"(25, 0)","[25, 25]"
"(25, 90)","[25, 25]"
"(25, 180)","[25, 24, 23, 20, 25]"
"(25, 270)","[25, 25]"
